Opening Time,Type [buy/sell],Symbol,Setup,Size / Quantity,Closing Time,Entry Price,Closing Price,Swap,Commission,Net Profit,Stop Loss (optional),Take Profit(optional),Highest price (optional),Lowest price (optional)
2022-05-04 16:00:00,BUY,BTCUSD,chopdev exp 3,130.32,2022-05-05 12:00:00,2955.71000000,2742.85000000,,519.83267300,-28407.59000000,2896.40254200,3281.62250000,2956.00557100,2725.75576200
2022-07-14 16:00:00,BUY,BTCUSD,chopdev exp 3,298.81,2022-07-25 00:00:00,1194.04000000,1511.51000000,,565.92048900,94137.06000000,1170.08112800,1325.70128000,1663.29772000,1179.47271200
2022-09-09 00:00:00,BUY,BTCUSD,chopdev exp 3,269.49,2022-09-13 12:00:00,1672.96000000,1594.45000000,,616.37814200,-21950.29000000,1639.39141400,1857.42957800,1787.55776000,1571.41132800
2022-10-23 20:00:00,BUY,BTCUSD,chopdev exp 3,314.41,2022-11-02 08:00:00,1364.20000000,1555.94000000,,642.68526100,59458.70000000,1336.82680200,1514.62403800,1661.86844000,1323.00116000
2022-11-30 00:00:00,BUY,BTCUSD,chopdev exp 3,386.00,2022-12-03 20:00:00,1265.09000000,1240.51000000,,677.01154100,-10358.30000000,1239.70548300,1404.58563500,1308.60909600,1235.10736700
2022-12-13 12:00:00,BUY,BTCUSD,chopdev exp 3,361.07,2022-12-15 12:00:00,1323.78000000,1270.32000000,,655.65273100,-20145.68000000,1297.21784500,1469.74711100,1351.57938000,1262.22423000
2018-01-02 00:00:00,BUY,BTCUSD,chopEMA,11.79,2018-01-16 16:00:00,847.60000000,1000.00000000,,15.24488000,1776.80000000,825.58551600,987.45977900,1439.22480000,779.19868000
2018-04-12 08:00:00,BUY,BTCUSD,chopEMA,25.33,2018-05-11 00:00:00,464.51000000,692.53000000,,20.51571900,5749.44000000,452.44540800,541.15731700,839.55537400,450.71405300
2018-07-16 08:00:00,BUY,BTCUSD,chopEMA,36.97,2018-07-20 08:00:00,473.60000000,458.24000000,,24.11710900,-598.91000000,461.29931600,551.74722900,515.04000000,451.48288000
2018-11-04 16:00:00,BUY,BTCUSD,chopEMA,79.73,2018-11-14 08:00:00,212.11000000,191.49000000,,22.52605400,-1673.05000000,206.60092500,247.10959600,224.60327900,189.60512900
